Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Kinetq.LiquidPages.AspNetCore\Kinetq.LiquidPages.AspNetCore.csproj,File,src\Kinetq.LiquidPages.AspNetCore\Kinetq.LiquidPages.AspNetCore.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Kinetq.LiquidPages.AspNetCore\Kinetq.LiquidPages.AspNetCore.csproj,File,src\Kinetq.LiquidPages.AspNetCore\ApplicationBuilderExtensions.cs,18,8,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/__liquid-error/500"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Kinetq.LiquidPages.AspNetCore.Sample\Kinetq.LiquidPages.AspNetCore.Sample.csproj,File,src\Kinetq.LiquidPages.AspNetCore.Sample\Kinetq.LiquidPages.AspNetCore.Sample.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,,,Microsoft.Extensions.Logging.Debug 10.0.0,,,,,"Microsoft.Extensions.Logging.Debug, 10.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,,,Microsoft.Extensions.Logging.Console 10.0.2,,,,,"Microsoft.Extensions.Logging.Console, 10.0.2  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,,,,,,,,Current target framework: net9.0-windows10.0.19041.0 Recommended target framework: net10.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Styles.xaml.sg.cs,30,3,T:Microsoft.Maui.Controls.Xaml.Extensions,,,,,"global::Microsoft.Maui.Controls.Xaml.Extensions.LoadFromXaml(this, typeof(__Type3D7D7C7D7E079E2D));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Styles.xaml.sg.cs,18,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __Type3D7D7C7D7E079E2D()  		{  			InitializeComponent();  		}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Styles.xaml.sg.cs,18,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __Type3D7D7C7D7E079E2D()  		{  			InitializeComponent();  		}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Styles.xaml.sg.cs,16,79,T:Microsoft.Maui.Controls.ResourceDictionary,,,,,ResourceDictionary
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Colors.xaml.sg.cs,30,3,T:Microsoft.Maui.Controls.Xaml.Extensions,,,,,"global::Microsoft.Maui.Controls.Xaml.Extensions.LoadFromXaml(this, typeof(__Type0AC4D68568992AB3));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Colors.xaml.sg.cs,18,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __Type0AC4D68568992AB3()  		{  			InitializeComponent();  		}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Colors.xaml.sg.cs,18,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __Type0AC4D68568992AB3()  		{  			InitializeComponent();  		}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Kinetq.LiquidPages.Avalonia.Sample\Kinetq.LiquidPages.Avalonia.Sample.csproj,File,src\Kinetq.LiquidPages.Avalonia.Sample\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Colors.xaml.sg.cs,16,79,T:Microsoft.Maui.Controls.ResourceDictionary,,,,,ResourceDictionary
